contract_id,summary,termination_clause,confidentiality_clause,liability_clause
contract_36,"### Detailed Summary of the Manufacturing and Supply Agreement between Pfizer Inc. and Upjohn Inc.

This final version agreement outlines a comprehensive contract for manufacturing, supply, and quality assurance with strict terms and conditions, ensuring clarity and compliance with legal requirements.

**Purpose:**
The primary purpose is to establish a formal relationship between Pfizer Inc., a pharmaceutical company, and Upjohn Inc., a supplier of products. The agreement covers the supply of specific products, including details on capacity, forecasts, price adjustments, quality standards, and environmental obligations. It also includes provisions for mutual covenants, warranties, indemnification, and termination clauses.

**Key Obligations:**
- **Supply of Product:** Both parties commit to providing specified quantities of product at agreed prices.
- **Price and Payment:** The agreement specifies the price terms, including adjustments due to cost improvements. Payment methods, taxes, and invoices are outlined for compliance with regulations.
- **Manufacturing Standards and Quality Assurance:** Ensures that all manufacturing activities adhere to strict quality standards and follow legal and regulatory requirements.
- **Environmental Obligations:** Specifies obligations related to environmental laws, permits, hazardous waste generation, and sustainability reviews.

**Risks, Penalties, Termination, and Breach Consequences:**
- **Risk of Loss:** Risks are discussed regarding unforeseen events or issues that may affect delivery timelines.
- **Penalties and Termination:** Provides detailed penalties for breaches including termination due to insolvency or non-compliance with representations. The agreement also outlines the process for returning materials, tools, and equipment upon termination.

This contract is designed to ensure a stable and compliant manufacturing relationship between Pfizer Inc. and Upjohn Inc., providing all parties with clear expectations and legal protections against potential issues that may arise during the supply chain.","Facility Conversion Cost Adjustment Fiscal Year  
Facility Conversion Cost Baseline Fiscal Year  
Facility Conversion Cost Threshold  
Facility Disposition  
Facility Actual Product Materials Cost  
Facility Estimated Product Materials Cost","WHEREAS, after the Separation, Spinco shall become a standalone publicly traded company, pursuant to the terms of the Separation Agreement and a Business Combination Agreement, dated as of July 29, 2019 (the “Business Combination Agreement”), by and among Pluto, Spinco, Mylan N.V., a public company with limited liability incorporated under the laws of the Netherlands, and certain of their Affiliates",LIMITATIONS OF LIABILITY
contract_37,"### Detailed Summary of Exhibit 99(d)(2) Cooperation Agreement

**Purpose:**
The purpose of this cooperation agreement is to establish a mechanism for mutual benefit and enhanced business collaboration between Otkritie Investments Cyprus Limited (OICL), an affiliate of QIWI plc, under the terms of the Deed of Subscription. The steering committee will analyze potential areas of cooperation in digital payments and other related fields.

**Key Obligations:**

- **OICL’s Obligations:** 
  - Purchase 5,593,041 class B ordinary shares from QIWI Group.
  - Provide financial information to facilitate the partnership.

- **QIWI Group’s Obligations:**
  - Acquire CIHRUS Limited Liability Company (CIHRUS) and Rapida Ltd., which will be part of NKO Rapida, through a joint venture with OICL.
  
**Risks and Penalties:**

- **OICL's Risk:** 
  - Compliance risk associated with the cooperation agreement terms.

- **QIWI Group’s Risk:**
  - Potential financial risks if CIHRUS or Rapida fails to meet agreed-upon targets, which could affect QIWI’s investments in these companies.
  
**Termination and Breach Consequences:**

- **Termination:**
  - Either party may terminate the agreement upon giving at least thirty (30) days’ notice.

- **Breach Consequences:** 
  - If either party breaches this agreement, the aggrieved party can seek remedies such as damages or specific performance depending on the nature of the breach.","Applicable Law(s)” means all laws, regulations, directives, statutes, subordinate legislation, common law and civil codes of any jurisdiction, all judgments, orders, notices, instructions, decisions and awards of any court or competent authority having jurisdiction over Otkritie or QIWI, as applicable, or tribunal or in an administrative, regulatory or similar proceeding","The Steering Committee shall consist of three representatives of QIWI Group and three representatives of Otkritie (each, a “Committee Member”). The representatives shall include: (a) at least one representative from Otkritie occupying the position of Chief Executive Officer or the Chairman of the Management Board or similar within Otkritie Holding JSC, PJSC Khanty-Mansiysk Bank Otkritie or JSC Bank Otkritie Financial Corporation; and (b) QIWI’s Chief Executive Officer. Each of Otkritie and QIWI Group shall have the exclusive right to remove and replace any of its designees to the Steering Committee at any time by notice to the other party.","Steering Committee shall present such proposal to the respective governing body of each Otkritie and of QIWI for approval. For the avoidance of doubt, no decision of the Steering Committee shall be binding on the Parties unless, and the Parties are only required to act upon any decision of the Steering Committee if and to the extent that, such decision is properly approved/ratified by the relevant governing bodies of both Otkritie and QIWI."
contract_38,"This distributor agreement is between Peregrine/Bridge Transfer Corporation and Neon Systems, Inc., establishing terms for the distribution and use of licensed computer software products. The key points are:
- The agreement covers marketing and sublicensing the Licensed Products.
- Licensor provides documentation for customers to understand how to use the products.
- Licensee agrees not to compete with Licensor or any other distributor during the agreement period.
- There's a clause for emergency fixes, where Licensee reports problems to Licensor that need immediate attention.
The purpose is to facilitate the distribution of licensed software in exchange for payment. The risk of non-payment and termination are clearly outlined, along with how breaches might be handled by both parties.",TERM AND TERMINATION.,ces rendered on or after the first day of the thirteenth (13th) month through and including the last day of the eighteenth (18th) month of the term hereof will be payable ninety (90) days after the date of such invoice. Fees due to Licensor from invoices rendered thereafter will be payable sixty (60) days after the date of such invoice. Any amount that is not paid when due will bear simple interest from the date such amount is due until the date payment is made at a rate equal to 10% per annum.,"Licensor reserves the right to reject any product order, to cancel any product orders placed by Licensee and accepted by Licensor and to refuse or delay shipment thereof if Licensee fails to make any payments as provided in this Agreement or otherwise continues to fail to comply with the terms and conditions of this Agreement for thirty (30) days after delivery of written notice of such failure."
contract_39,"The CO-BRANDING AGREEMENT between Dassault Systemes and PlanetCAD is aimed at co-branding 3Dshare.com. Both parties will jointly operate this web service to meet customer needs for Internet-based services. PlanetCAD, as the original provider, ensures its competence in providing these services while maintaining control over billing and collection related to the service. This agreement includes details on obligations of both parties, including maintenance and modifications of CBD Software, cross-licensing agreements, effective date, and definitions. The co-branding relationship is based on shared values and expertise between PlanetCAD and Dassault Systemes, aiming to enhance customer satisfaction through collaborative efforts in providing innovative and quality products via the 3Dshare.com platform.",termination of this Agreement,"Net Revenue shall consist of all revenues recognized by the Billing Party derived from supply of the Co-Branded Service, including the price paid by the customers, less any applicable discounts and net of any commissions or fees paid to third party resellers, to obtain access to the Co-Branded Service and any other fees and charges invoiced by the Billing Party to the customers, without deduction by such party of any other costs or expenses related to achievement of the revenue, provided, however, that Net 7 8 Revenue shall be reduced by the amount, if any, of (i) value-added taxes, (ii) taxes on gross receipts and other fees.",obligation to maintain and update Dassault Systemes Customer Databases.
contract_40,"**Summary:**

The **ENDORSEMENT AGREEMENT** between Andy North and Golfers Incorporated comes into effect on February 21, 2011. The agreement involves the use of North's name, image, voice, and likeness to endorse Golfers' F2 Golf Clubs across the globe.

Key obligations:
- North agrees to provide services for at least three Contract Years: 2011 (February 21, 2011 - December 31, 2011) and two additional years.
- North's endorsement will cover all of Company’s marketing campaigns in the United States (Contract Year 2012), as well as worldwide for the remaining Contract Year.

Risks and penalties:
- Both parties are responsible for maintaining confidentiality regarding their business relations.
- In case of default, the aggrieved party may terminate the agreement without cause, subject to specific termination clauses.
- The failure to provide services or breach any term could lead to immediate termination of the Agreement.

Termination/Remedies:
The agreement can be terminated by either party if North breaches a material term or condition. In this event, the other party has the right to seek specific performance or damages up to $10 million per incident.

**Insurance and Severability:**
- The parties agree on insurance coverage for any potential liabilities arising from the Agreement.
- Any disputes are subject to applicable laws and can be litigated in a court of competent jurisdiction.

The agreement is governed by Delaware law, with specific provisions outlining compliance with federal labor laws. It includes severability clauses to ensure that part of the agreement cannot invalidate the entire document, and it outlines the parties' obligations for confidentiality, indemnification, insurance coverage, and notices.","b. Additional Production/Promotional Appearances.
d. Promotional Appearance.","Use Company’s F2 branded wedges when competing professionally, conducting public clinics or outings, participating in public golf events and when appearing at other public functions where it is appropriate to use or have golf clubs at such events (herein “Public Events’).","Definitions, Term, Grant of License and Exclusivity, Retention of Rights, Appearances, Compensation, Supply of Endorsed Products, Approval of Advertising, Ownership, SAG and/or AFTRA, Standards, Events of Default, Termination/Remedies, Company’s Debts, Indemnification, Insurance, Waiver, Notices, Assignment, Independent Contractor, Joint Venture, Governing Law, Entire Agreement, Amendments, Authority, Severability, Compliance with Laws, Attorney's Fees and Costs, Force Majeure, Confidentiality, Counterparts"
contract_41,"This sponsorship agreement between ACM and SLD for a boxing event in China on April 22, 2000 at Tian He Stadium is detailed. The Sponsor wishes to become a sponsor of the Event. In exchange for US$400,000, ACM agrees to provide floor cards, drapes over ropes, ring-side banners, an overhead banner, and other handout materials, with the payment due 180 days after the event date. SLD is allowed to resell some sponsorship components provided they submit approval for third-party display materials at least five days prior to the event. ACM retains all intellectual property rights related to the Event's logo, name, characters, and likeness, including video and audio excerpts use, while the Sponsor retains its copyright and trademark rights over any handout materials. The agreement requires delivery of display materials two days before the event and obliges both parties to keep their respective rights under copyright and trademark laws regarding intellectual property.",NOT FOUND,"Sponsorship Components: * Two Floor Cards (12in x 66in) in prominent position for TV camera * Two Drapes over ropes (5in x 60in, with lettering within the middle 36"") * Two Ring Side banners (200cm x 15cm) * One overhead banner (5ft x 8 ft) to be hung over boxing ring * Other handout materials for audience",understands and acknowledges that ACM has the right to receive a share of any resale income derived from such resale.
contract_42,"This is an Exhibit 10.3 co-branding agreement between About.com and ebix for a joint venture in creating an independent channel on or accessible through the About Network. It includes definitions such as ""ABOUT CONTENT"" referring to content created by About, ""ABOUT CUSTOMER DATA"" covering information like internet addresses, transactional details, and customer identification, and the ""ABOUT LOOK AND FEEL"". The key obligations are for About to provide promotional links, banners, and other marketing materials on the ebix Site in exchange for promotions in the Insurance Center. Risks include potential infringement of trademarks or copyrights by about.com, penalties like termination without prior notice, and breach consequences such as non-renewal of service agreements.","NOW, THEREFORE, in consideration of the agreements and obligations evidenced by this Agreement, it is agreed as follows:  
WHEREAS, ebix desires to receive promotions on the About Network for the parties' Insurance Center and for the ebix Site (hereinafter defined).",Promotional Impressions,"WHEREAS, ebix desires to receive promotions on the About Network for the parties' Insurance Center and for the ebix Site (hereinafter defined)."
contract_43,"**Detailed Summary**

The **Sponsorship Agreement**, entered into on December 15, 1997, by and between Excite, Inc. and NetGrocer, Inc., establishes a mutually beneficial arrangement for promoting NetGrocer's online supermarket service through the Excite Shopping Channel on the Internet. The agreement involves three key elements:

1. **Purpose**: Both parties agree to promote each other's respective services through their shared platform.
2. **Key Obligations**:
    - **Promotion of NetGrocer in Excite Site Channels**: 
        - A text and/or graphic link will be displayed on the main page of the Excite Shopping Channel, four times a year during specified weeks.
        - The links are consistent with similar formats found elsewhere on the same pages on the site. This includes:
            - ""Such a Deal"" promotion.
            - ""Shop Here First"" promotion in various departments like Gourmet and Groceries.
    - **Promotional Links**:
        - Banner advertising will be placed on the Excite Shopping Channel, displayed consistently with formats used elsewhere on the site.
3. **Risks, Penalties, Termination or Breach Consequences**: 
    - The agreement does not specify penalties for failure to comply but indicates that breaches may lead to termination of the agreement.

This sponsorship arrangement aims to leverage Excite's audience reach and NetGrocer’s online market presence, creating a mutually beneficial relationship through strategic site promotion.","SPONSORSHIP AGREEMENT This agreement (""Agreement"") is entered into as of the 15th day of December, 1997 (""Effective Date""), by and between Excite, Inc., a California corporation, located at 555 Broadway, Redwood City, California 94063 (""Excite""), and NetGrocer, Inc. a Delaware corporation, located at 333 Seventh avenue, 11th Floor, New York, NY 10001 (""NetGrocer""). RECITALS A. Excite maintains a site on the Internet at http://www.excite.com (the ""Excite Site"") and owns and/or manages related World Wide Web sites worldwide (collectively, the Excite Site and the related web sites are referred to as the ""Excite Network"") which, among other things, allow its users to search for and access content and other sites on the Internet. B. Within the Excite Site, Excite currently organizes certain content into topical channels, including a Shopping Channel. C. NetGrocer operates an online supermarket service at its Web site located at http://www.netgrocer.com (the ""NetGrocer Site""). D. NetGrocer wishes to promote use of the NetGrocer Site to Excite's users by sponsoring the Excite Shopping Channel and purchasing banner advertising and other promotional links on the Excite Site. 1. SPONSORSHIP a) Excite will promote NetGrocer in the Excite Shopping Chann",NOT FOUND,NetGrocer shall pay to Excite [*] for each Click-through on the promotional placements and ads.
contract_44,"This **Turn-Key Manufacturing Agreement** establishes a contractual relationship between Invasix Ltd., the customer, and FLEXTRONICS ISRAEL LTD., the contractor. The agreement outlines specific terms for manufacturing services provided by Contractor to Customer.

The primary purpose of this agreement is to define clear obligations for both parties regarding material planning, procurement, quality assurance (incoming inspection), production processes, testing, packaging, and delivery. It also sets out a renewable term structure with automatic renewal unless either party gives notice nine months prior to the anniversary date. 

Key obligations include:

- Contractor provides labor, materials, testing, packaging, and delivery based on Customer's specifications.
- Supplier will allocate necessary facilities (production space and trained personnel).
- Quality control includes material inspection, assembly, final assembly, circuit testing, functional tests, and packaging before delivery.

The risks and penalties for breach are not detailed in the agreement, but it indicates that any dispute resolution would be governed by this document. The termination clause is straightforward, requiring either party to provide notice ninety days prior, unless there's a material change or an event of default as defined in Exhibit 10.9, which includes non-performance and specific performance issues.

This agreement seeks to standardize manufacturing processes for a particular product line while defining clear responsibilities and expectations for both parties.","Term This Agreement shall commence on the Effective Date and shall continue for an initial term of year as of the Effective Date. This Agreement shall automatically be renewed for successive one (1) year increments unless either party request in writing, at least ninety (90) days prior to the anniversary date, that this Agreement not to be renewed.","ULAR PURPOSE. 11. Engineering Changes 11.1 Customer may, upon advance written notice to Contractor, submit engineering changes for incorporation into the Products. Contractor will review the engineering change and report to Customer within two (2) working days of any implications of the proposed changes. The report should include all possible implications on materials, delivery schedule, manufacturing process, quality and product cost and shall also quote the Contractors costs for implementing the changes. Customer and Contractor will agree on all aspects of implications and shall accordingly make revisions in outstanding Purchase Orders – if requested by Customer and subject to Contractor’s consent in writing. 11.2 Contractor shall assure quick implementation of engineering changes. 12. Delivery and Inspection, Title and shipping 12.1 Contractor undertakes to report to Customer once (1) a week, or per Customer request, the quantity of Products ready for delivery 12.2 Customer will notify Contractor, from time to time, quantities of Products and destinations to which to ship the Products. 12.3 If the delivery destination is within Israel, excluding port/airport (“Limited Delivery Territory”) than the delivery shall be made by Contractor at no additional cost and to such destination of delivery Contractor shall incur insurance transport costs. Upon delivery or the placement of an invoice by Contractor, whichever is earlier, Risk of loss and title will pass to Customer. 12.4 Th",Customer shall have no additional liability with respect to the holding of LLI other than the liability provided herein below.
contract_45,"This Endorsement Agreement (""Agreement"") is made by Lifeway Foods, Inc. with an address at 6431 West Oakton Street in Morton Grove, IL 60053 and Ludmila Smolyansky on her own behalf at 182 N. Harbor Drive, Chicago, IL 60602. It pertains to the right of Lifeway to use Individual's name, image, likeness, voice, photograph, signature or facsimile thereof in marketing materials promoting its products and services. This release waives individual rights such as inspecting, approving, or disapproving these marketing materials. Lifeway is not obligated for any display or performance. The agreement also covers Marketing Materials that include Individual's biographical information and personal opinions reflecting their views about the company's products or services. It ends by releasing and discharging Lifeway from claims related to prior use of Individual's name, image, likeness, etc., in connection with marketing materials.","Survival - Unless and to the extent otherwise specified herein, all terms of this Agreement which by their nature extend beyond its termination, remain in effect until fulfilled, and apply to respective successors and assigns.

Force Majeure

Waiver

Counterparts and Facsimile Signatures

Entire Agreement and Amendment","s represents, warrants and covenants that: (a) the Warranting Party has the full right and authority, and possesses all licenses, permits, authorizations and rights required to enter into this Agreement and perform its obligations under it; (b) the performance of its duties pursuant to this Agreement will not conflict with or violate any agreement by which it is bound; (c) the Warranting Party will comply with all applicable laws, rules, and regulations as a condition for performing its obligations under this Agreement.","Survival - Unless and to the extent otherwise specified herein, all terms of this Agreement which by their nature extend beyond its termination, remain in effect until fulfilled, and apply to respective successors and assigns.

Waiver - The waiver by either party of a breach or a default of any provision of this Agreement by the other party will not be construed as a waiver of any succeeding breach of the same or any other provision."
contract_46,"### Detailed Summary

This **Outsourcing Agreement** between International Business Machines Corporation (IBM) and Manufacturers' Services Western US Operations, Inc. (MSL) outlines the details of a strategic partnership to outsource certain manufacturing processes. The agreement encompasses key terms including:

- **Purpose**: To facilitate IBM’s transition from selling assets and services to MSL for production, while enabling MSL to manufacture products on behalf of IBM.
  
- **Key Obligations**:
  - IBM will transfer various assets and personnel to MSL in exchange for leasing spaces and equipment.
  - MSL must comply with the terms of this Agreement, including payment for labor, space, and services provided by IBM.

- **Risks and Penalties**:
  - Failure to meet performance criteria can result in penalties such as additional lease payments or termination of the agreement.
  - Breach of confidentiality agreements may lead to legal action and compensation.

The Agreement also includes several supplementary documents covering specific product details (Attachment 1), employee information, asset lists, expense sharing arrangements, equipment loan agreements, and purchase orders. By signing this document, both parties commit to adhering to its terms, ensuring a seamless transition from IBM's operations to MSL for their manufacturing needs.","manufacturers' services western u.s., international business machines operations, inc. corporation by: / s / kevin c. mella by: / s / r. g. richter",Product Attachments are incorporated into and made a part of this Agreement.,INDEMNIFICATION AND LIMITATION OF LIABILITY
contract_47,"This Joint Venture Agreement between Novo Integrated Sciences Inc. (NVOS) and Harvest Gold Farms Inc. (HGF) establishes a partnership aimed at developing, managing, and operating medicinal hemp farming projects within Canada for NVOS's cannabis-related cash crops such as industrial hemp. The agreement outlines the following key points:

- Both parties commit to working together on developing joint ventures, including processing facilities and marketing platforms.
- NVOS provides access to its distribution network while HGF contributes to the project through employment of harvesters, consultation with legal rights, and business development in Canada.
- They agree on a pre-determined price for biomass from 1 acre per unit agreed upon by both parties and share profits based on net revenue splits through NVOS channels or indirect sales through other authorized networks.

The agreement specifies that HGF will provide raw cannabis material at a determined rate, with NVOS benefitting from a profit-sharing model in the sale of final products to the market. The terms include provisions for termination and breach consequences, outlining how disputes can be handled should either party fail to meet obligations under this Agreement.","WHEREAS, NVOS is willing to assist in development, assist in management and purchase biomass resulting from open field farming for health-related cash crops, in particular medicinal cannabis and industrial hemp",NOT FOUND,"last to issue"" basis."
contract_48,"This agreement between Prudential Bank and Jeffrey Hanuscin, effective June 1, 2017, establishes a split-dollar arrangement for life insurance on Hanuscin's own life. The primary purpose is to assist Hanuscin in obtaining this coverage by retaining the insurer's interest while the employer provides financial assistance through the Employee. Key obligations of both parties include:

- **Employer's Obligations:**
  - Provide base salary and cash benefits.
  - Ensure compliance with IRS Code provisions (e.g., Section 125, 401(k)).
  - Pay for premiums on insurance policies issued by several carriers.

- **Employee's Obligations:**
  - Perform duties efficiently and competently.
  - Agree to the terms of this arrangement.

Risks and consequences:
- Both parties are committed to maintaining compliance with IRS Code provisions.
- The agreement supersede any previous split-dollar agreements, ensuring consistency and clarity in financial arrangements.
- There is no obligation for the employer to enter into substitute contracts when they are not issued by the carriers specified. This prevents any discrepancies or misunderstandings.

The agreement outlines the terms of the policies, including:
- Cash Value (based on mortality tables provided by Prudential).
- Net Amount at Risk (face amount of policies minus cash value).
- Current Loan Value and Policy Loan Balance.
- Employer's interest in the policies, defined in Articles IV and V.

This arrangement allows Hanuscin to secure life insurance coverage while the employer provides necessary financial support without involving an unrelated company.",solely with respect to the amount paid under the preceding paragraph.,NOT FOUND,NOT FOUND
contract_49,"This **Cooperation Agreement** (2014 Amendment) is a formal agreement entered into on January 24, 2014 by and between Nanjing Tuniu Technology Co., Ltd. (Party A) and Beijing Tuniu Technology Co., Ltd. (Party B). The purpose of the agreement is to establish a long-term cooperation relationship that benefits both parties' interests and those of their respective beneficiaries.

Key obligations of each party include:

- **Party A** commits to authorizing Party B's technical services and business consultancy in relation to internet-based tour product sales promotion, allowing them to operate an online platform for such services.
- Party B agrees to provide these services under this agreement with additional support from other forms as specified.

Risks, penalties, termination, and breach consequences are outlined as follows:

- If either party breaches the agreement by not fulfilling their obligations, the aggrieved party can seek a court remedy.
- The original cooperation was between September 17, 2008, until now; any changes must be agreed upon with mutual consent.
- If there is a dispute regarding interpretation or application of this agreement, it shall be handled according to the rules stipulated in the Civil Code.",exclusive cooperation party,"Neither Party shall disclose the financial and technical information obtained in the course of conclusion of this Agreement to any third party nor use such information for matters irrelevant to this Agreement, regardless of written or oral information, unless the other Party gives a prior written consent thereto. The Parties shall be obligated to take measures (including without limitation preparing the confidentiality rules, entering into the confidentiality agreement, establishing the archive management system and etc.) to ensure their respective employees will observe the confidentiality obligations specified hereunder.",irrevocable undertaking that Party A shall provide Party B with exclusive cooperation in accordance with Article 3 hereinafter of the Original Cooperation Agreement to promote the business and activities conducted by Party A.
